mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	-6	3/4	3/4	0						firstMeasure	2
2	2	-6	3/4	3/4	0							3
3	3	-6	3/4	3/4	0							4
4	4	-6	3/4	3/4	0							5
5	5	-6	3/4	3/4	0							6
6	6	-6	3/4	3/4	0							7
7	7	-6	3/4	3/4	0							8
8	8	-6	3/4	3/4	0							9
9	9	-6	3/4	3/4	0							10
10	10	-6	3/4	3/4	0							11
11	11	-6	3/4	3/4	0							12
12	12	-6	3/4	3/4	0							13
13	13	-6	3/4	3/4	0							14
14	14	-6	3/4	3/4	0							15
15	15	-6	3/4	3/4	0							16
16	16	-6	3/4	3/4	0							17
17	17	-6	3/4	3/4	0							18
18	18	-6	3/4	3/4	0							19
19	19	-6	3/4	3/4	0							20
20	20	-6	3/4	3/4	0							21
21	21	-6	3/4	3/4	0							22
22	22	-6	3/4	3/4	0							23
23	23	-6	3/4	3/4	0							24
24	24	-6	3/4	3/4	0							25
25	25	-6	3/4	3/4	0							26
26	26	-6	3/4	3/4	0							27
27	27	-6	3/4	3/4	0							28
28	28	-6	3/4	3/4	0							29
29	29	-6	3/4	3/4	0							30
30	30	-6	3/4	3/4	0							31
31	31	-6	3/4	3/4	0							32
32	32	-6	3/4	3/4	0							33
33	33	-6	3/4	3/4	0							34
34	34	-6	3/4	3/4	0							35
35	35	-6	3/4	3/4	0							36
36	36	-6	3/4	3/4	0							37
37	37	-6	3/4	3/4	0							38
38	38	-6	3/4	3/4	0							39
39	39	-6	3/4	3/4	0				end		lastMeasure	-1
