slice	0	1	2	3	4	5	6	7	8	9	10	11
[0.0, 1.0)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
[1.0, 2.0)	0.0	2.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	3.5	0.0	0.0
[2.0, 3.0)	0.0	0.0	2.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0
[3.0, 4.0)	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[4.0, 5.0)	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[5.0, 6.0)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
[6.0, 7.0)	0.0	2.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	3.5	0.0	0.0
[7.0, 8.0)	0.0	0.0	2.0	0.0	2.0	0.0	1.5	1.0	0.0	0.0	1.5	0.0
[8.0, 9.0)	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[9.0, 10.0)	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[10.0, 11.0)	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0
[11.0, 12.0)	0.0	0.5	0.0	1.0	0.0	0.0	1.5	0.0	0.0	1.0	0.0	1.0
[12.0, 13.0)	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0
[13.0, 14.0)	0.0	1.5	0.0	0.0	1.0	0.0	0.5	1.0	0.0	1.0	0.0	0.0
[14.0, 15.0)	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0
[15.0, 16.0)	0.0	0.5	0.0	1.0	0.0	0.0	1.5	0.0	0.0	1.0	0.0	1.0
[16.0, 17.0)	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0
