slice	0	1	2	3	4	5	6	7	8	9	10	11
[0.0, 1.0)	0.125	0.0	0.125	0.0	0.0	0.0	1.5	0.0	0.0	0.25	0.0	0.0
[1.0, 2.0)	0.375	0.0	0.25	0.0	0.0	0.0	1.125	0.0	0.0	0.25	0.0	0.0
[2.0, 3.0)	0.125	0.0	0.125	0.0	0.0	0.0	1.5	0.0	0.0	0.25	0.0	0.0
[3.0, 4.0)	0.375	0.0	0.25	0.0	0.0	0.0	1.125	0.0	0.0	0.25	0.0	0.0
[4.0, 5.0)	0.125	0.0	0.125	0.0	0.0	0.0	1.5	0.0	0.0	0.25	0.0	0.0
[5.0, 6.0)	0.375	0.0	0.25	0.0	0.0	0.0	1.125	0.0	0.0	0.25	0.0	0.0
[6.0, 7.0)	0.125	0.0	0.125	0.0	0.0	0.0	1.5	0.0	0.0	0.25	0.0	0.0
[7.0, 8.0)	0.375	0.0	0.25	0.0	0.0	0.0	1.125	0.0	0.0	0.25	0.0	0.0
[8.0, 9.0)	0.125	0.0	0.125	0.0	0.0	0.0	1.5	0.0	0.0	0.25	0.0	0.0
[9.0, 10.0)	0.375	0.0	0.25	0.5	0.0	0.0	1.125	0.0	0.0	0.25	0.0	0.0
[10.0, 11.0)	0.125	0.0	0.125	0.0	0.0	0.0	1.562	0.0	0.062	0.25	0.0	0.0
[11.0, 12.0)	0.375	0.0	0.25	0.5	0.0	0.0	1.125	0.0	0.0	0.25	0.0	0.0
[12.0, 13.0)	0.125	0.0	0.125	0.0	0.0	0.0	1.5	0.0	0.0	0.25	0.0	0.0
[13.0, 14.0)	0.375	0.0	0.25	0.5	0.0	0.0	1.125	0.0	0.0	0.25	0.0	0.0
[14.0, 15.0)	0.125	0.0	0.125	0.0	0.0	0.0	1.562	0.0	0.062	0.25	0.0	0.0
[15.0, 16.0)	0.375	0.0	0.25	0.5	0.0	0.0	1.125	0.0	0.0	0.25	0.0	0.0
[16.0, 17.0)	0.166	0.0	0.20800000000000002	0.0	0.0	0.0	1.458	0.0	0.0	0.166	0.0	0.0
[17.0, 18.0)	0.25	0.0	0.125	0.125	0.0	0.0	1.25	0.0	0.125	0.125	0.0	0.0
[18.0, 19.0)	0.25	0.0	0.125	0.125	0.0	0.0	1.25	0.0	0.125	0.125	0.0	0.0
[19.0, 20.0)	0.25	0.0	0.125	0.125	0.0	0.0	1.25	0.0	0.125	0.125	0.0	0.0
[20.0, 21.0)	0.25	0.0	0.125	0.125	0.0	0.0	0.25	0.0	0.125	0.125	0.0	0.0
[21.0, 22.0)	0.25	0.0	0.125	0.125	0.0	0.0	0.25	0.0	0.125	0.125	0.0	0.0
[22.0, 23.0)	0.25	0.0	0.125	0.125	0.0	0.0	0.25	0.0	0.125	0.125	0.0	0.0
[23.0, 24.0)	0.249	0.0	0.20800000000000002	0.125	0.0	0.0	0.20800000000000002	0.0	0.125	0.083	0.0	0.0
[24.0, 25.0)	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
[25.0, 26.0)	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0
[26.0, 27.0)	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0
[27.0, 28.0)	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0
[28.0, 29.0)	0.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0
[29.0, 30.0)	0.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
[30.0, 31.0)	0.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
[31.0, 32.0)	0.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0
[32.0, 33.0)	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	1.0	0.0
[33.0, 34.0)	0.0	1.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
[34.0, 35.0)	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0
[35.0, 36.0)	0.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
[36.0, 37.0)	0.0	0.249	0.0	0.0	0.0	0.0	0.666	0.083	0.0	0.0	1.0	0.0
[37.0, 38.0)	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
[38.0, 39.0)	0.0	1.0	0.0	1.0	0.0	0.0	0.5	0.5	0.0	1.0	0.0	0.0
[39.0, 40.0)	0.0	2.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
[40.0, 41.0)	0.0	2.0	0.0	2.0	0.0	0.0	1.0	0.5	0.0	0.0	0.0	0.0
[41.0, 42.0)	0.0	1.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0
[42.0, 43.0)	0.0	0.0	0.0	0.0	0.0	0.0	1.5	2.5	0.0	2.0	0.0	0.0
[43.0, 44.0)	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	2.0	0.0	0.0
[44.0, 45.0)	0.0	1.0	0.0	1.0	0.0	0.5	1.0	2.0	0.0	0.5	0.0	0.0
[45.0, 46.0)	0.0	1.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0
[46.0, 47.0)	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	2.0	0.0	0.0
[47.0, 48.0)	0.0	1.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0
[48.0, 49.0)	0.0	1.249	0.0	1.0	0.0	0.0	0.666	1.083	0.0	0.0	0.0	0.0
[49.0, 50.0)	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
[50.0, 51.0)	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	2.0	0.0	0.0
[51.0, 52.0)	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	2.0	0.0	0.0
[52.0, 53.0)	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.5	0.0	2.0	0.0	0.0
[53.0, 54.0)	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	2.0	0.0	0.0
[54.0, 55.0)	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	2.0	0.0	0.0
[55.0, 56.0)	0.0	2.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
[56.0, 57.0)	0.0	2.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
[57.0, 58.0)	0.444	0.444	0.0	0.0	0.0	0.111	1.111	1.0	0.0	0.111	0.111	0.0
[58.0, 59.0)	0.111	0.111	0.444	0.444	0.444	0.0	0.875	1.236	0.111	0.111	0.0	0.111
[59.0, 60.0)	0.444	0.444	0.0	0.0	0.0	0.111	1.111	1.0	0.0	0.111	0.111	0.0
[60.0, 61.0)	0.111	0.111	0.444	0.444	0.444	0.0	0.875	1.111	0.111	0.111	0.125	0.111
[61.0, 62.0)	0.444	0.444	0.0	0.0	0.0	0.111	1.111	0.0	0.0	0.111	0.111	0.0
