slice	0	1	2	3	4	5	6	7	8	9	10	11
[27.0, 28.0)	0.0	0.25	0.0	0.5	1.0	0.0	1.25	0.0	1.5	0.0	0.5	1.5
[28.0, 29.0)	0.0	0.75	0.0	0.5	1.0	0.0	1.0	0.0	2.25	0.0	0.0	1.0
[29.0, 30.0)	0.0	0.75	0.0	0.5	1.0	0.0	1.0	0.0	2.25	0.0	0.0	1.5
[30.0, 31.0)	0.0	0.25	0.0	0.5	1.0	0.0	1.0	0.0	2.25	0.0	1.0	1.0
[31.0, 32.0)	0.0	0.333	0.0	0.333	1.0	0.0	2.0	0.0	2.5	0.0	1.0	1.0
[32.0, 33.0)	0.0	0.25	0.0	0.5	0.5	0.0	1.0	0.0	1.25	0.0	0.0	1.0
[33.0, 34.0)	0.0	0.5	0.0	1.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	1.5
[34.0, 35.0)	0.0	0.0	0.0	0.5	1.0	0.0	1.25	0.0	2.25	0.0	0.5	1.0
[35.0, 36.0)	0.0	0.25	0.0	0.5	1.0	0.0	1.25	0.0	1.5	0.0	0.5	1.5
[36.0, 37.0)	0.0	0.75	0.0	0.5	1.0	0.0	1.0	0.0	2.25	0.0	0.0	1.0
[37.0, 38.0)	0.0	0.75	0.0	0.5	1.0	0.0	1.0	0.0	2.25	0.0	0.0	1.5
[38.0, 39.0)	0.0	0.25	0.0	0.5	1.0	0.0	0.0	0.0	2.25	0.0	1.0	0.0
[39.0, 40.0)	0.0	0.333	0.0	1.333	1.0	0.0	0.0	0.0	2.5	0.0	1.0	0.0
[40.0, 41.0)	0.0	0.666	0.0	0.0	0.0	0.0	0.0	0.0	1.666	0.0	0.0	0.0
[41.0, 42.0)	0.0	0.0	0.0	0.666	0.0	0.0	0.666	0.0	1.666	0.0	0.0	2.0
[42.0, 43.0)	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0
[43.0, 44.0)	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0
[44.0, 45.0)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
[45.0, 46.0)	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
[46.0, 47.0)	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
[47.0, 48.0)	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0
[48.0, 49.0)	0.0	0.666	0.0	0.0	0.0	0.0	0.0	0.0	2.666	0.0	0.0	1.0
[49.0, 50.0)	0.0	0.0	0.0	0.666	0.0	0.0	2.666	0.0	1.666	0.0	0.0	0.0
[50.0, 51.0)	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0
[51.0, 52.0)	0.0	0.666	0.0	2.666	0.0	0.0	0.666	0.0	1.0	0.0	0.0	0.0
[52.0, 53.0)	0.0	0.666	0.0	0.666	0.0	0.0	2.0	0.0	1.666	0.0	0.0	0.0
[53.0, 54.0)	0.0	0.0	0.0	0.666	0.0	0.0	0.666	0.0	3.666	0.0	0.0	0.0
[54.0, 55.0)	0.0	0.666	0.0	0.666	0.0	0.0	0.666	0.0	1.0	0.0	0.0	2.0
[55.0, 56.0)	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
[56.0, 57.0)	0.0	0.333	0.0	0.666	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
[57.0, 58.0)	0.0	0.666	0.0	0.333	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
[58.0, 59.0)	0.0	1.333	0.0	0.666	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
[59.0, 60.0)	0.0	1.666	0.0	0.333	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
[60.0, 61.0)	0.0	0.333	0.0	0.666	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
[61.0, 62.0)	0.0	1.666	0.0	0.333	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
[62.0, 63.0)	0.0	0.333	0.0	1.166	0.5	0.0	1.0	0.0	0.5	0.5	0.0	0.0
[63.0, 64.0)	0.0	1.166	0.0	0.833	0.0	0.0	0.5	0.5	0.0	0.5	0.5	0.0
[64.0, 65.0)	0.0	0.333	0.0	0.666	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
[65.0, 66.0)	0.0	1.666	0.0	0.333	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
[66.0, 67.0)	0.0	0.333	0.0	0.666	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
[67.0, 68.0)	0.0	0.666	0.0	0.333	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0
[68.0, 69.0)	0.0	1.333	0.0	0.666	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
[69.0, 70.0)	0.0	0.666	0.0	1.333	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
[70.0, 71.0)	0.0	0.333	0.0	0.666	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
[71.0, 72.0)	0.0	1.666	0.0	0.333	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
[72.0, 73.0)	0.0	0.666	0.0	1.332	0.0	0.0	0.0	0.0	2.333	0.0	0.0	0.0
[73.0, 74.0)	0.0	1.332	0.0	0.666	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
[74.0, 75.0)	0.0	0.666	0.0	1.332	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
[75.0, 76.0)	0.0	1.332	0.0	0.666	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0
[76.0, 77.0)	0.0	0.333	0.0	0.666	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
[77.0, 78.0)	0.0	0.666	0.0	2.333	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
[78.0, 79.0)	0.0	2.333	0.0	1.666	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
[79.0, 80.0)	0.0	0.666	0.0	1.333	2.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0
[80.0, 81.0)	0.0	0.333	0.0	2.666	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
[81.0, 82.0)	0.0	0.666	0.0	2.333	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0
[82.0, 83.0)	0.0	0.333	0.0	2.666	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0
[83.0, 84.0)	0.0	0.666	0.0	2.333	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0
[84.0, 85.0)	0.0	2.333	0.0	1.666	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
[85.0, 86.0)	0.0	2.666	0.0	1.333	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0
[86.0, 87.0)	0.0	2.333	0.0	1.666	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0
[87.0, 88.0)	0.0	2.666	0.0	1.333	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0
[88.0, 89.0)	0.0	0.333	0.0	0.5	0.0	0.0	0.5	0.0	0.333	0.0	0.0	1.0
[89.0, 90.0)	0.0	0.5	0.0	0.833	0.0	0.0	0.333	0.0	0.333	0.0	0.0	1.0
[90.0, 91.0)	0.0	0.333	0.0	1.833	0.0	0.0	0.5	0.0	0.333	0.0	0.0	1.0
[91.0, 92.0)	0.0	0.5	0.0	0.833	0.0	0.0	0.333	0.0	0.333	0.0	0.0	1.0
[92.0, 93.0)	0.0	0.833	0.0	0.0	0.0	0.0	0.5	0.0	0.333	0.0	0.0	1.0
[93.0, 94.0)	0.0	0.0	0.0	0.333	0.0	0.0	0.666	0.0	0.666	0.0	0.0	1.333
[94.0, 95.0)	0.0	0.833	0.0	0.0	0.0	0.0	0.5	0.0	0.333	0.0	0.0	1.0
[95.0, 96.0)	0.0	0.0	0.0	0.333	0.0	0.0	0.666	0.0	0.666	0.0	0.0	1.333
[96.0, 97.0)	0.0	0.333	0.0	0.5	0.0	0.0	0.5	0.0	0.333	0.0	0.0	1.0
[97.0, 98.0)	0.0	0.5	0.0	0.833	0.0	0.0	0.333	0.0	0.333	0.0	0.0	1.0
[98.0, 99.0)	0.0	0.333	0.0	1.833	0.0	0.0	0.5	0.0	0.333	0.0	0.0	1.0
[99.0, 100.0)	0.0	0.5	0.0	0.833	0.0	0.0	0.333	0.0	0.333	0.0	0.0	1.0
[100.0, 101.0)	0.0	0.833	0.0	0.0	0.0	0.0	0.5	0.0	0.333	0.0	0.0	1.0
[101.0, 102.0)	0.0	0.0	0.0	0.333	0.0	0.0	0.666	0.0	0.666	0.0	0.0	1.333
[102.0, 103.0)	0.0	0.833	0.0	0.0	0.0	0.0	0.5	0.0	0.333	0.0	0.0	1.0
[103.0, 104.0)	0.0	0.0	0.0	0.333	0.0	0.0	0.666	0.0	0.666	0.0	0.0	1.333
[104.0, 105.0)	0.0	0.333	0.0	1.333	0.0	0.0	0.333	0.0	0.666	0.0	0.0	0.0
[105.0, 106.0)	0.0	1.666	0.0	0.333	0.0	0.0	0.666	0.0	0.333	0.0	0.0	0.0
[106.0, 107.0)	0.0	0.333	0.0	1.666	0.0	0.0	0.333	0.0	0.666	0.0	0.0	0.0
[107.0, 108.0)	0.0	0.666	0.0	0.333	0.0	0.0	1.666	0.0	0.333	0.0	0.0	0.0
[108.0, 109.0)	0.0	0.333	0.0	0.666	0.0	0.0	0.333	0.0	1.666	0.0	0.0	0.0
[109.0, 110.0)	0.0	2.666	0.0	0.333	0.0	0.0	0.666	0.0	0.333	0.0	0.0	0.0
[110.0, 111.0)	0.0	0.333	0.0	2.666	0.0	0.0	0.333	0.0	0.666	0.0	0.0	0.0
[111.0, 112.0)	0.0	0.666	0.0	0.333	0.0	0.0	2.666	0.0	0.333	0.0	0.0	0.0
[112.0, 113.0)	0.0	0.333	0.0	0.666	0.0	0.0	0.333	0.0	0.666	0.0	0.0	1.0
[113.0, 114.0)	0.0	2.666	0.0	0.333	0.0	0.0	0.666	0.0	0.333	0.0	0.0	1.0
[114.0, 115.0)	0.0	0.333	0.0	2.666	0.0	0.0	0.333	0.0	0.666	0.0	0.0	1.0
[115.0, 116.0)	0.0	0.666	0.0	0.333	0.0	0.0	2.666	0.0	0.333	0.0	0.0	1.0
[116.0, 117.0)	0.0	0.333	0.0	0.666	0.0	0.0	0.333	0.0	0.666	0.0	0.0	1.0
[117.0, 118.0)	0.0	2.666	0.0	0.333	0.0	0.0	0.666	0.0	0.333	0.0	0.0	1.0
[118.0, 119.0)	0.0	0.0	0.0	2.5	0.0	0.0	0.0	0.0	0.5	0.0	0.0	1.0
[119.0, 120.0)	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0
[120.0, 121.0)	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0
[121.0, 122.0)	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0
[122.0, 123.0)	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0
[123.0, 124.0)	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0
[124.0, 125.0)	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
[125.0, 126.0)	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
[126.0, 127.0)	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
[127.0, 128.0)	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
[128.0, 129.0)	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0
[129.0, 130.0)	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
[130.0, 131.0)	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
[131.0, 132.0)	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
[132.0, 133.0)	0.0	0.25	0.0	0.5	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.25
[133.0, 134.0)	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
[134.0, 135.0)	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
[135.0, 136.0)	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0
[136.0, 137.0)	0.0	0.5	0.0	1.0	0.0	0.0	1.0	0.0	0.5	0.0	0.0	0.0
[137.0, 138.0)	0.0	1.0	0.0	0.5	0.0	0.0	1.0	0.0	0.5	0.0	0.0	0.0
[138.0, 139.0)	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
[139.0, 140.0)	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0
[140.0, 141.0)	0.0	0.25	0.0	0.25	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.5
[141.0, 142.0)	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0
[142.0, 143.0)	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0
[143.0, 144.0)	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0
[144.0, 145.0)	0.0	0.625	0.0	1.25	0.0	0.0	1.25	0.0	0.625	0.0	0.0	0.0
[145.0, 146.0)	0.0	2.25	0.0	0.375	0.0	0.0	0.25	0.0	0.125	0.0	0.0	1.0
[146.0, 147.0)	0.0	2.125	0.0	0.25	0.0	0.0	0.25	0.0	0.125	0.0	0.0	1.0
[147.0, 148.0)	0.0	0.25	0.0	2.375	0.0	0.0	0.25	0.0	0.125	0.0	0.0	0.0
[148.0, 149.0)	0.0	1.75	0.0	0.875	0.0	0.0	1.25	0.0	1.125	0.0	0.0	0.0
[149.0, 150.0)	0.0	1.25	0.0	0.375	0.0	0.0	0.25	0.0	1.125	0.0	0.0	2.0
[150.0, 151.0)	0.0	3.25	0.0	0.375	0.0	0.0	1.25	0.0	0.125	0.0	0.0	0.0
[151.0, 152.0)	0.0	2.25	0.0	0.375	0.0	0.0	2.25	0.0	0.125	0.0	0.0	0.0
[152.0, 153.0)	0.0	0.625	0.0	1.25	0.0	0.0	1.25	0.0	0.625	0.0	0.0	0.0
[153.0, 154.0)	0.0	2.25	0.0	0.375	0.0	0.0	0.25	0.0	0.125	0.0	0.0	1.0
[154.0, 155.0)	0.0	2.125	0.0	0.25	0.0	0.0	0.25	0.0	0.125	0.0	0.0	1.0
[155.0, 156.0)	0.0	0.25	0.0	2.375	0.0	0.0	0.25	0.0	0.125	0.0	0.0	0.0
[156.0, 157.0)	0.0	0.25	0.0	3.375	0.0	0.0	0.75	0.0	0.625	0.0	0.0	0.0
[157.0, 158.0)	0.0	0.125	0.0	4.25	0.0	0.0	0.75	0.0	0.625	0.0	0.0	0.0
[158.0, 159.0)	0.0	0.125	0.0	4.25	0.0	0.0	0.75	0.0	0.625	0.0	0.0	0.0
[159.0, 160.0)	0.0	0.25	0.0	4.25	0.0	0.0	0.5	0.0	0.75	0.0	0.0	0.0
[160.0, 161.0)	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0
[161.0, 162.0)	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
[162.0, 163.0)	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
[163.0, 164.0)	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
[164.0, 165.0)	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	1.0
[165.0, 166.0)	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0
[166.0, 167.0)	0.0	4.125	0.0	0.25	0.0	0.0	0.25	0.0	2.125	0.0	0.0	0.0
[167.0, 168.0)	0.0	2.125	0.0	0.25	0.0	0.0	4.25	0.0	0.125	0.0	0.0	0.0
[168.0, 169.0)	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	1.0
[169.0, 170.0)	0.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[170.0, 171.0)	0.0	2.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[171.0, 172.0)	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	2.0
[172.0, 173.0)	0.0	0.25	0.0	4.5	0.0	0.0	0.5	0.0	0.25	0.0	2.0	0.0
[173.0, 174.0)	0.0	0.0	0.0	5.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0
[174.0, 175.0)	0.0	0.0	0.0	5.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0
[175.0, 176.0)	0.0	0.0	0.0	5.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0
[176.0, 177.0)	0.0	0.0	0.0	1.0	0.0	0.0	1.75	0.0	0.75	0.0	0.0	0.0
[177.0, 178.0)	0.0	0.0	0.0	0.0	0.0	0.0	1.75	0.0	1.25	0.0	0.0	0.0
[178.0, 179.0)	0.0	0.0	0.0	0.0	0.0	0.0	1.75	0.0	1.25	0.0	0.0	0.0
[179.0, 180.0)	0.0	0.0	0.0	0.0	0.0	0.0	1.75	0.0	1.25	0.0	0.0	0.0
[180.0, 181.0)	0.0	0.0	0.0	0.0	0.0	1.0	1.75	0.0	1.25	0.0	0.0	0.0
[181.0, 182.0)	0.0	0.0	0.0	1.0	0.0	0.0	1.75	0.0	1.25	0.0	0.0	0.0
[182.0, 183.0)	0.0	0.0	0.0	1.0	0.0	0.0	1.75	0.0	1.25	0.0	0.0	0.0
[183.0, 184.0)	0.0	1.0	0.0	0.0	0.0	0.0	1.75	0.0	1.25	0.0	0.0	0.0
[184.0, 185.0)	0.0	0.25	0.0	0.5	0.0	0.0	1.75	0.0	1.25	0.0	0.0	0.25
[185.0, 186.0)	0.0	0.0	0.0	1.0	0.0	0.0	1.75	0.0	1.25	0.0	0.0	0.0
[186.0, 187.0)	0.0	0.0	0.0	1.0	0.0	0.0	1.75	0.0	1.25	0.0	0.0	0.0
[187.0, 188.0)	0.0	0.0	0.0	0.0	0.0	0.0	1.75	0.0	1.25	0.0	0.0	1.0
[188.0, 189.0)	0.0	0.5	0.0	0.0	0.0	0.0	1.75	0.0	1.75	0.0	0.0	0.0
[189.0, 190.0)	0.0	1.0	0.0	0.0	0.0	0.0	1.75	0.0	1.25	0.0	0.0	0.0
[190.0, 191.0)	0.0	1.0	0.0	0.0	0.0	0.0	1.75	0.0	1.25	0.0	0.0	0.0
[191.0, 192.0)	0.0	0.0	0.0	0.0	0.0	1.0	1.75	0.0	1.25	0.0	0.0	0.0
[192.0, 193.0)	0.0	0.25	0.0	0.25	0.0	0.0	1.75	0.0	1.25	0.0	0.0	0.5
[193.0, 194.0)	0.0	0.0	0.0	0.0	0.0	0.0	1.75	0.0	1.25	0.0	0.0	1.0
[194.0, 195.0)	0.0	0.0	0.0	0.0	0.0	0.0	1.75	0.0	1.25	0.0	0.0	1.0
[195.0, 196.0)	0.0	0.0	0.0	0.0	0.0	0.0	1.75	0.0	1.25	0.0	0.0	1.0
[196.0, 197.0)	0.0	0.0	0.0	0.0	0.0	2.0	0.5	0.0	1.5	0.0	0.0	0.0
[197.0, 198.0)	0.0	0.0	0.0	2.0	0.0	0.0	0.5	0.0	1.5	0.0	0.0	0.0
[198.0, 199.0)	0.0	0.0	0.0	2.0	0.0	0.0	0.5	0.0	2.5	0.0	0.0	0.0
[199.0, 200.0)	0.0	2.0	0.0	0.0	0.0	0.0	0.5	0.0	2.5	0.0	0.0	0.0
[200.0, 201.0)	0.0	0.5	0.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.5
[201.0, 202.0)	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0
[202.0, 203.0)	0.0	1.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
[203.0, 204.0)	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0
[204.0, 205.0)	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
[205.0, 206.0)	0.0	2.0	0.0	0.0	0.0	0.0	0.5	0.0	1.5	0.0	0.0	0.0
[206.0, 207.0)	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0
[207.0, 208.0)	0.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0
[208.0, 209.0)	0.0	0.5	0.0	0.25	0.0	0.0	0.5	0.0	0.75	0.0	0.0	0.5
[209.0, 210.0)	0.0	0.0	0.0	1.5	0.0	0.0	1.5	0.0	1.0	0.0	0.0	1.0
[210.0, 211.0)	0.0	0.0	0.0	2.0	0.0	0.0	2.25	0.0	1.25	0.0	0.0	1.0
[211.0, 212.0)	0.0	0.25	0.0	1.5	0.0	0.0	2.25	0.0	1.0	0.0	0.0	0.5
[212.0, 213.0)	0.0	0.25	0.0	1.0	0.0	0.0	2.5	0.0	1.25	0.0	0.0	1.5
[213.0, 214.0)	0.0	0.25	0.0	2.5	0.0	0.0	3.0	0.0	1.25	0.0	0.0	2.0
[214.0, 215.0)	0.0	0.25	0.0	2.5	0.0	0.0	3.0	0.0	1.25	0.0	0.0	2.0
[215.0, 216.0)	0.0	0.333	0.0	1.333	0.0	0.0	3.167	0.0	1.5	0.0	0.0	1.5
[216.0, 217.0)	0.0	0.25	0.0	1.0	0.0	0.0	1.5	0.0	0.75	0.5	0.0	1.5
[217.0, 218.0)	0.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	2.0
[218.0, 219.0)	0.0	0.0	0.0	2.5	0.0	0.0	2.25	0.0	1.25	1.0	0.0	2.0
[219.0, 220.0)	0.0	0.25	0.0	2.5	0.0	0.0	2.25	0.0	1.0	1.0	0.0	2.0
[220.0, 221.0)	0.0	0.25	0.0	2.0	0.0	0.0	2.0	0.0	1.25	1.0	0.0	2.0
[221.0, 222.0)	0.0	0.25	0.0	2.5	0.0	0.0	2.0	0.0	1.25	1.0	0.0	2.0
[222.0, 223.0)	0.0	0.25	0.0	2.5	0.0	0.0	2.0	0.0	1.25	1.0	0.0	2.0
[223.0, 224.0)	0.0	0.333	0.0	1.333	0.0	0.0	2.667	0.0	1.5	0.5	0.0	1.5
[224.0, 225.0)	0.0	0.25	0.0	0.5	0.5	0.0	1.0	0.0	1.25	0.0	0.0	1.0
[225.0, 226.0)	0.0	0.5	0.0	1.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	1.5
[226.0, 227.0)	0.0	0.0	0.0	0.5	1.0	0.0	1.25	0.0	2.25	0.0	0.5	1.0
[227.0, 228.0)	0.0	0.25	0.0	0.5	1.0	0.0	1.25	0.0	1.5	0.0	0.5	1.5
[228.0, 229.0)	0.0	0.75	0.0	0.5	1.0	0.0	1.0	0.0	2.25	0.0	0.0	1.0
[229.0, 230.0)	0.0	0.75	0.0	0.5	1.0	0.0	1.0	0.0	2.25	0.0	0.0	1.5
[230.0, 231.0)	0.0	0.25	0.0	0.5	1.0	0.0	1.0	0.0	2.25	0.0	1.0	1.0
[231.0, 232.0)	0.0	0.333	0.0	0.333	1.0	0.0	2.0	0.0	2.5	0.0	1.0	1.0
[232.0, 233.0)	0.0	0.25	0.0	0.5	0.5	0.0	1.0	0.0	1.25	0.0	0.0	1.0
[233.0, 234.0)	0.0	0.5	0.0	1.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	1.5
[234.0, 235.0)	0.0	0.0	0.0	0.5	1.0	0.0	1.25	0.0	2.25	0.0	0.5	1.0
[235.0, 236.0)	0.0	0.25	0.0	0.5	1.0	0.0	1.25	0.0	1.5	0.0	0.5	1.5
